pair_id,repo,path,old_commit,new_commit,old_date,new_date,old_path,new_path,old_source_url,new_source_url,retrieved_at,retrieval_method
pair_0001,APIs.guru public version directory,adyen.com:AccountService,3,4,,,data/openapi_histories/pairs/pair_0001/old.json,data/openapi_histories/pairs/pair_0001/new.json,https://api.apis.guru/v2/specs/adyen.com/AccountService/3/openapi.json,https://api.apis.guru/v2/specs/adyen.com/AccountService/4/openapi.json,2026-06-02T12:06:35+00:00,apis_guru_public_versions
pair_0002,APIs.guru public version directory,adyen.com:AccountService,4,5,,,data/openapi_histories/pairs/pair_0002/old.json,data/openapi_histories/pairs/pair_0002/new.json,https://api.apis.guru/v2/specs/adyen.com/AccountService/4/openapi.json,https://api.apis.guru/v2/specs/adyen.com/AccountService/5/openapi.json,2026-06-02T12:06:36+00:00,apis_guru_public_versions
pair_0003,APIs.guru public version directory,adyen.com:AccountService,5,6,,,data/openapi_histories/pairs/pair_0003/old.json,data/openapi_histories/pairs/pair_0003/new.json,https://api.apis.guru/v2/specs/adyen.com/AccountService/5/openapi.json,https://api.apis.guru/v2/specs/adyen.com/AccountService/6/openapi.json,2026-06-02T12:06:37+00:00,apis_guru_public_versions
pair_0004,APIs.guru public version directory,adyen.com:BalancePlatformService,1,2,,,data/openapi_histories/pairs/pair_0004/old.json,data/openapi_histories/pairs/pair_0004/new.json,https://api.apis.guru/v2/specs/adyen.com/BalancePlatformService/1/openapi.json,https://api.apis.guru/v2/specs/adyen.com/BalancePlatformService/2/openapi.json,2026-06-02T12:06:38+00:00,apis_guru_public_versions
pair_0005,APIs.guru public version directory,adyen.com:BinLookupService,40,50,,,data/openapi_histories/pairs/pair_0005/old.json,data/openapi_histories/pairs/pair_0005/new.json,https://api.apis.guru/v2/specs/adyen.com/BinLookupService/40/openapi.json,https://api.apis.guru/v2/specs/adyen.com/BinLookupService/50/openapi.json,2026-06-02T12:06:38+00:00,apis_guru_public_versions
pair_0006,APIs.guru public version directory,adyen.com:BinLookupService,50,52,,,data/openapi_histories/pairs/pair_0006/old.json,data/openapi_histories/pairs/pair_0006/new.json,https://api.apis.guru/v2/specs/adyen.com/BinLookupService/50/openapi.json,https://api.apis.guru/v2/specs/adyen.com/BinLookupService/52/openapi.json,2026-06-02T12:06:39+00:00,apis_guru_public_versions
pair_0007,APIs.guru public version directory,adyen.com:BinLookupService,52,53,,,data/openapi_histories/pairs/pair_0007/old.json,data/openapi_histories/pairs/pair_0007/new.json,https://api.apis.guru/v2/specs/adyen.com/BinLookupService/52/openapi.json,https://api.apis.guru/v2/specs/adyen.com/BinLookupService/53/openapi.json,2026-06-02T12:06:40+00:00,apis_guru_public_versions
pair_0008,APIs.guru public version directory,adyen.com:CheckoutService,37,40,,,data/openapi_histories/pairs/pair_0008/old.json,data/openapi_histories/pairs/pair_0008/new.json,https://api.apis.guru/v2/specs/adyen.com/CheckoutService/37/openapi.json,https://api.apis.guru/v2/specs/adyen.com/CheckoutService/40/openapi.json,2026-06-02T12:06:41+00:00,apis_guru_public_versions
pair_0009,APIs.guru public version directory,adyen.com:CheckoutService,40,41,,,data/openapi_histories/pairs/pair_0009/old.json,data/openapi_histories/pairs/pair_0009/new.json,https://api.apis.guru/v2/specs/adyen.com/CheckoutService/40/openapi.json,https://api.apis.guru/v2/specs/adyen.com/CheckoutService/41/openapi.json,2026-06-02T12:06:42+00:00,apis_guru_public_versions
pair_0010,APIs.guru public version directory,adyen.com:CheckoutService,41,46,,,data/openapi_histories/pairs/pair_0010/old.json,data/openapi_histories/pairs/pair_0010/new.json,https://api.apis.guru/v2/specs/adyen.com/CheckoutService/41/openapi.json,https://api.apis.guru/v2/specs/adyen.com/CheckoutService/46/openapi.json,2026-06-02T12:06:43+00:00,apis_guru_public_versions
