alert_type,detail,label_options,layer,location,manual_label,manual_notes,new_commit,new_date,old_commit,old_date,pair_id,path,severity
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,OAuth2AuthorizationServerUpdateContract.tokenBodyParameters,,,2016-10-10,,2016-07-07,,pair_0056,azure.com:apimanagement,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,TimeOfDayRestriction.operation,,,2,,1,,pair_0004,adyen.com:BalancePlatformService,low
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,TextOptions.ResultEnabled,,,2013-01-01,,2011-02-01,,pair_0039,amazonaws.com:cloudsearch,high
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,InvalidRequestContentException.Type,,,2015-03-31,,2014-11-11,,pair_0041,amazonaws.com:lambda,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,UpdateAccountHolderResponse.primaryCurrency,,,5,,4,,pair_0018,adyen.com:MarketPayNotificationService,low
operation_added,New operation added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,GET /v20190125/meshes/{meshName},,,2019-01-25,,2018-10-01,,pair_0034,amazonaws.com:appmesh,low
schema_field_removed,Existing schema property disappeared.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,compatibility,SourceDataTrimTitle.Language,,,2013-01-01,,2011-02-01,,pair_0039,amazonaws.com:cloudsearch,high
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,DeleteItemInput.ExpressionAttributeValues,,,2012-08-10,,2011-12-05,,pair_0040,amazonaws.com:dynamodb,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,LocalSecondaryIndexDescription.KeySchema,,,2012-08-10,,2011-12-05,,pair_0040,amazonaws.com:dynamodb,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,KYCLegalArrangementCheckResult.legalArrangementCode,,,6,,5,,pair_0003,adyen.com:AccountService,low
operation_added,New operation added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,GET /2018-06-18/distribution/{Id},,,2018-06-18,,2017-10-30,,pair_0038,amazonaws.com:cloudfront,low
operation_added,New operation added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,POST /#X-Amz-Target=DynamoDB_20120810.Query,,,2012-08-10,,2011-12-05,,pair_0040,amazonaws.com:dynamodb,low
schema_field_added,New schema property added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,BackupSummary.TableArn,,,2012-08-10,,2011-12-05,,pair_0040,amazonaws.com:dynamodb,low
operation_added,New operation added.,true_breaking|potentially_breaking|semantic_risk|non_breaking|documentation_only|ambiguous,non_breaking,PUT /2015-03-31/functions/{FunctionName}/code,,,2015-03-31,,2014-11-11,,pair_0041,amazonaws.com:lambda,low
