alerts,compatibility_alerts,new_commit,new_date,new_fields,new_operations,non_breaking_alerts,old_commit,old_date,old_fields,old_operations,pair_id,path,security_alerts,semantic_alerts
21,1,4,,303,17,18,3,,285,17,pair_0001,adyen.com:AccountService,0,2
123,31,5,,359,20,90,4,,303,17,pair_0002,adyen.com:AccountService,0,2
64,6,6,,399,20,46,5,,359,20,pair_0003,adyen.com:AccountService,0,12
403,210,2,,397,31,149,1,,455,34,pair_0004,adyen.com:BalancePlatformService,0,44
3,0,50,,64,2,3,40,,61,2,pair_0005,adyen.com:BinLookupService,0,0
2,0,52,,66,2,2,50,,64,2,pair_0006,adyen.com:BinLookupService,0,0
2,1,53,,66,2,1,52,,66,2,pair_0007,adyen.com:BinLookupService,0,0
84,2,40,,1122,21,82,37,,1042,21,pair_0008,adyen.com:CheckoutService,0,0
9,0,41,,1131,21,9,40,,1122,21,pair_0009,adyen.com:CheckoutService,0,0
1,0,46,,1132,21,1,41,,1131,21,pair_0010,adyen.com:CheckoutService,0,0
32,13,5,,140,8,19,3,,134,8,pair_0011,adyen.com:FundService,0,0
0,0,6,,140,8,0,5,,140,8,pair_0012,adyen.com:FundService,0,0
5,3,5,,44,2,0,1,,47,2,pair_0013,adyen.com:HopService,0,2
0,0,6,,44,2,0,5,,44,2,pair_0014,adyen.com:HopService,0,0
61,6,2,,270,26,42,1,,234,25,pair_0015,adyen.com:LegalEntityService,0,13
60,12,3,,307,27,48,2,,270,26,pair_0016,adyen.com:LegalEntityService,0,0
33,4,4,,409,0,27,3,,386,0,pair_0017,adyen.com:MarketPayNotificationService,0,2
109,24,5,,468,0,83,4,,409,0,pair_0018,adyen.com:MarketPayNotificationService,0,2
62,8,6,,510,0,50,5,,468,0,pair_0019,adyen.com:MarketPayNotificationService,0,4
0,0,2,,48,6,0,1,,48,6,pair_0020,adyen.com:NotificationConfigurationService,0,0
0,0,3,,48,6,0,2,,48,6,pair_0021,adyen.com:NotificationConfigurationService,0,0
